floor,zone,subzone,x,y,xRaw,yRaw,width,height
1,1,,0.14988,0.28519,73,107,486,375
1,2,,0.49968,0.28252,243,106,486,375
1,3,,0.86593,0.50641,421,190,486,375
1,4,,0.87005,0.80492,423,302,486,375
1,5,,0.49762,0.65566,242,246,486,375
1,6,,0.48939,0.50374,238,189,486,375
1,7,,0.06758,0.79693,33,299,486,375
1,8,A,0.16017,0.50108,78,188,486,375
1,8,B,0.17458,0.69831,85,262,486,375
2,1,,0.07993,0.20256,39,76,486,375
2,2,,0.51202,0.19990,249,75,486,375
2,3,,0.92560,0.22389,450,84,486,375
2,4,,0.92972,0.49575,452,186,486,375
2,5,,0.91532,0.80492,445,302,486,375
2,6,,0.51202,0.80492,249,302,486,375
2,7,,0.07169,0.81025,35,304,486,375
2,8,,0.06964,0.49575,34,186,486,375
2,9,,0.17458,0.34382,85,129,486,375
2,10,,0.56346,0.34116,274,128,486,375
2,11,,0.81449,0.35182,396,132,486,375
2,12,A,0.35153,0.32250,171,121,486,375
2,12,B,0.33095,0.51174,161,192,486,375
2,12,C,0.34124,0.66633,166,250,486,375
2,13,,0.42983,0.50971,295,270,687,530
2,14,,0.50697,0.66244,348,351,687,530
2,15,,0.82866,0.50406,569,267,687,530
2,16,,0.75297,0.65113,517,345,687,530
3,1,,0.11079,0.21322,54,80,486,375
3,2,,0.44412,0.21322,216,80,486,375
3,3,,0.52231,0.34649,254,130,486,375
3,4,,0.42355,0.51440,206,193,486,375
3,5,,0.48939,0.65833,238,247,486,375
3,6,,0.41943,0.80759,204,303,486,375
3,7,,0.07169,0.80226,35,301,486,375
3,8,,0.06964,0.49841,34,187,486,375
3,9,,0.17663,0.65566,86,246,486,375
3,10,,0.17046,0.42645,83,160,486,375
3,11,A,0.31244,0.34382,152,129,486,375
3,11,B,0.33301,0.51174,162,192,486,375
3,11,C,0.34742,0.65833,169,247,486,375
3,12,,0.80215,0.49575,390,186,486,375
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
